Country,Collection,WGS84 N,WGS84 E,Species,Time
Suomi,Finnish Insect Database,61.125326,23.377229,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-10-13
Suomi,Finnish Insect Database,61.845194,25.696003,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-10-01
Suomi,Finnish Insect Database,62.998091,27.826245,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-30
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.162963,28.683186,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-20 [13:45-14:45]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.162963,28.683186,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-20 [13:45-14:45]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.162963,28.683186,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-20 [13:45-14:45]
Suomi,Hatikka.fi observations,61.374274,28.756878,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-17
Suomi,"Lajitietokeskus/FinBIF - Notebook, general observations",61.322909,28.568179,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-16
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",60.994452,24.524329,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-15 [12:30-13:50]
Suomi,Finnish Insect Database,60.968956,24.524168,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-15
Suomi,"Lajitietokeskus/FinBIF - Notebook, general observations",61.322909,28.568179,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-13
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.583103,23.377809,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-11 [13:20-14:30]
Suomi,Finnish Insect Database,62.319658,29.649202,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-11
Suomi,Finnish Insect Database,60.581749,23.374548,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-11
Suomi,Finnish Insect Database,62.837337,27.536349,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-11
Suomi,Finnish Insect Database,64.832507,26.77317,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-11
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.34261,23.763892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-10 [11:11-12:17]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.34261,23.763892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-10 [11:11-12:17]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.34261,23.763892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-10 [11:11-12:17]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.34261,23.763892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-10 [11:11-12:17]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.34261,23.763892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-10 [11:11-12:17]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.34261,23.763892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-10 [11:11-12:17]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.34261,23.763892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-10 [11:11-12:17]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.34261,23.763892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-10 [11:11-12:17]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.322732,24.500428,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-10 [15:15-16:30]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.322732,24.500428,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-10 [15:15-16:30]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.322732,24.500428,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-10 [15:15-16:30]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.322732,24.500428,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-10 [15:15-16:30]
Suomi,Finnish Insect Database,60.344725,23.763442,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-10
Suomi,Finnish Insect Database,60.420175,25.118037,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-10
Suomi,Finnish Insect Database,60.324679,24.498899,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-10
Suomi,Finnish Insect Database,62.487364,23.989508,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-09
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.605101,24.212036,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-07 [12:00-13:10]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.605101,24.212036,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-07 [12:00-13:10]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.605101,24.212036,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-07 [12:00-13:10]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.605101,24.212036,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-07 [12:00-13:10]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.605101,24.212036,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-07 [12:00-13:10]
Suomi,Finnish Insect Database,61.604891,24.211485,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-07
Suomi,Finnish Insect Database,61.877303,28.992982,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-07
Suomi,"Lajitietokeskus/FinBIF - Notebook, general observations",61.312713,28.498264,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-06
Suomi,"Lajitietokeskus/FinBIF - Notebook, general observations",61.326037,28.480089,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-06
Suomi,Finnish Insect Database,62.319658,29.649202,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-06
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.162963,28.683186,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05 [13:40-14:30]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.162963,28.683186,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05 [13:40-14:30]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.162963,28.683186,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05 [13:40-14:30]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.162963,28.683186,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05 [13:40-14:30]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",61.114068,23.343202,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05 [11:55-13:40]
