"species","longitude","latitude"
"Capreolus capreolus",23.856031,61.156973
"Sciurus vulgaris",23.856031,61.156973
"Sciurus vulgaris",27.076488,60.695844
"Sciurus vulgaris",21.856884,61.478262
"Sciurus vulgaris",25.709338,66.505147
"Sciurus vulgaris",25.795952,61.925766
"Sciurus vulgaris",27.572909,61.172296
"Neomys fodiens",25.702124,66.493023
"Sciurus vulgaris",28.045544,60.784551
"Sciurus vulgaris",24.932514,65.661432
"Sciurus vulgaris",25.404778,64.805289
"Sciurus vulgaris",22.340974,60.454212
"Vulpes vulpes",25.018642,60.110161
"Capreolus capreolus",22.164604,60.431105
"Sciurus vulgaris",22.164604,60.431105
"Capreolus capreolus",25.001953,60.274889
"Sciurus vulgaris",25.001953,60.274889
"Sciurus vulgaris",25.509969,61.005993
"Sciurus vulgaris",25.660701,66.511494
"Sciurus vulgaris",23.900175,61.250996
"Capreolus capreolus",21.361599,60.832314
"Sciurus vulgaris",24.489377,65.731887
"Sciurus vulgaris",27.799167,60.838187
"Lepus timidus",28.155933,65.594683
"Sciurus vulgaris",21.231345,62.369513
"Lepus timidus",27.68103,62.892943
"Sciurus vulgaris",27.68103,62.892943
"Capreolus capreolus",19.753833,60.209409
"Alces alces",22.765721,60.306798
"Capreolus capreolus",24.92332,60.22537
"Chiroptera",24.91232,60.180531
"Capreolus capreolus",23.98744,66.799866
"Sciurus vulgaris",23.98744,66.799866
"Sciurus vulgaris",27.567276,68.659924
"Sciurus vulgaris",24.711532,60.177502
"Sciurus vulgaris",25.17602,62.256569
"Sciurus vulgaris",21.252,60.835774
"Pteromys volans",26.872277,60.827587
"Sciurus vulgaris",25.495108,65.042609
"Sciurus vulgaris",27.105646,64.10873
"Sciurus vulgaris",23.977087,62.477384
"Vulpes vulpes",24.509725,62.298716
"Lepus timidus",24.509725,62.298716
"Meles meles",24.509725,62.298716
"Martes martes",24.509725,62.298716
"Nyctereutes procyonoides",24.509725,62.298716
"Rangifer tarandus fennicus",24.416187,63.118071
"Rangifer tarandus fennicus",24.416187,63.118071
"Pteromys volans",25.941897,62.467824
"Pteromys volans",25.941802,62.467695
"Pteromys volans",25.945737,62.469033
