"species","longitude","latitude"
"Ranunculus glacialis",20.813968,69.053584
"Ranunculus glacialis",20.68858,69.07987
"Ranunculus glacialis",20.688388,69.079313
"Ranunculus glacialis",21.26492,69.30779
"Ranunculus glacialis",22.787894,68.713901
"Ranunculus glacialis",20.862149,69.043867
"Ranunculus glacialis",20.854398,69.046838
"Ranunculus glacialis",20.861357,69.044451
"Ranunculus glacialis",20.8446,69.04747
"Ranunculus glacialis",20.65694,69.07639
"Ranunculus glacialis",21.375651,69.25352
"Ranunculus glacialis",21.086054,68.987862
"Ranunculus glacialis",20.826461,69.047514
"Ranunculus glacialis",20.826533,69.047526
"Ranunculus glacialis",20.832377,69.086729
"Ranunculus glacialis",20.650536,69.080055
"Ranunculus glacialis",20.657325,69.075343
"Ranunculus glacialis",20.657135,69.075823
"Ranunculus glacialis",20.653356,69.083016
"Ranunculus glacialis",20.650375,69.079914
"Ranunculus glacialis",20.650695,69.079854
"Ranunculus glacialis",20.656425,69.076013
"Ranunculus glacialis",21.121366,69.107525
"Ranunculus glacialis",20.911343,69.061537
"Ranunculus glacialis",20.915169,69.059507
"Ranunculus glacialis",21.272498,69.217156
"Ranunculus glacialis",21.170073,69.231705
"Ranunculus glacialis",21.244795,69.216801
"Ranunculus glacialis",21.094567,69.201967
"Ranunculus glacialis",21.286282,69.01321
"Ranunculus glacialis",21.264346,69.010863
"Ranunculus glacialis",21.255293,69.008038
"Ranunculus glacialis",21.289524,69.01349
"Ranunculus glacialis",21.29084,69.012966
"Ranunculus glacialis",21.28787,69.01338
"Ranunculus glacialis",21.253472,69.007895
"Ranunculus glacialis",21.225492,69.225607
"Ranunculus glacialis",21.473181,69.211827
"Ranunculus glacialis",20.693535,69.074674
"Ranunculus glacialis",21.26872,69.28575
"Ranunculus glacialis",21.119425,69.106516
"Ranunculus glacialis",21.119533,69.106582
"Ranunculus glacialis",21.122669,69.107302
"Ranunculus glacialis",21.411826,69.228417
"Ranunculus glacialis",20.813094,69.080872
"Ranunculus glacialis",21.15598,69.10386
"Ranunculus glacialis",21.164753,69.105473
"Ranunculus glacialis",21.161478,69.105272
"Ranunculus glacialis",20.806337,69.080789
"Ranunculus glacialis",21.294428,69.176643
"Ranunculus glacialis",21.294924,69.176389
"Ranunculus glacialis",21.295957,69.176118
"Ranunculus glacialis",21.645071,69.239009
"Ranunculus glacialis",21.268381,69.285174
"Ranunculus glacialis",20.815124,69.09061
"Ranunculus glacialis",20.662646,69.073398
"Ranunculus glacialis",20.85503,69.047032
"Ranunculus glacialis",21.25186,69.06825
"Ranunculus glacialis",20.68202,69.09812
"Ranunculus glacialis",20.8571,69.04332
"Ranunculus glacialis",20.9,69.1
"Ranunculus glacialis",20.688644,69.079913
"Ranunculus glacialis",20.688291,69.079305
"Ranunculus glacialis",21.16718,69.2704
"Ranunculus glacialis",20.81832,69.08009
"Ranunculus glacialis",20.820498,69.052503
"Ranunculus glacialis",20.81413,69.05349
"Ranunculus glacialis",20.83,69.08
"Ranunculus glacialis",20.862418,69.044255
"Ranunculus glacialis",20.859938,69.045561
"Ranunculus glacialis",20.831765,69.084188
"Ranunculus glacialis",21.41618,69.21921
"Ranunculus glacialis",21.420025,69.211945
"Ranunculus glacialis",21.267426,69.286006
"Ranunculus glacialis",21.32781,69.247487
"Ranunculus glacialis",21.349318,69.243425
"Ranunculus glacialis",21.354353,69.241431
"Ranunculus glacialis",21.378596,69.23177
"Ranunculus glacialis",21.369419,69.236356
"Ranunculus glacialis",21.2,69.25
"Ranunculus glacialis",21.187692,69.265611
"Ranunculus glacialis",21.188559,69.265127
"Ranunculus glacialis",21.190481,69.273582
"Ranunculus glacialis",21.196998,69.278942
"Ranunculus glacialis",21.196648,69.280056
"Ranunculus glacialis",21.163034,69.27658
"Ranunculus glacialis",21.168503,69.277981
"Ranunculus glacialis",21.174098,69.266277
"Ranunculus glacialis",21.200097,69.267577
