 Country,Collection,Species,WGS84 N,WGS84 E,Time
,Winter Bird Census,Siberian Jay — Perisoreus infaustus,66.206666,30.32803,2023-01-01 - 2023-12-31
,Winter Bird Census,Siberian Jay — Perisoreus infaustus,66.238372,25.884538,2023-01-01 - 2023-12-31
,Winter Bird Census,Siberian Jay — Perisoreus infaustus,62.569702,22.131128,2023-01-01 - 2023-12-31
,Winter Bird Census,Siberian Jay — Perisoreus infaustus,67.134975,28.14874,2023-01-01 - 2023-12-31
,Winter Bird Census,Siberian Jay — Perisoreus infaustus,66.238372,25.884538,2023-01-01 - 2023-12-31
,Winter Bird Census,Siberian Jay — Perisoreus infaustus,67.101644,23.541354,2023-01-01 - 2023-12-31
,Winter Bird Census,Siberian Jay — Perisoreus infaustus,66.206666,30.32803,2023-01-01 - 2023-12-31
,Winter Bird Census,Siberian Jay — Perisoreus infaustus,67.99657,23.408052,2023-01-01 - 2023-12-31
,Winter Bird Census,Siberian Jay — Perisoreus infaustus,67.101644,23.541354,2023-01-01 - 2023-12-31
,Winter Bird Census,Siberian Jay — Perisoreus infaustus,66.206666,30.32803,2023-01-01 - 2023-12-31
,Winter Bird Census,Siberian Jay — Perisoreus infaustus,66.206666,30.32803,2023-01-01 - 2023-12-31
,Winter Bird Census,Siberian Jay — Perisoreus infaustus,67.134975,28.14874,2023-01-01 - 2023-12-31
,Winter Bird Census,Siberian Jay — Perisoreus infaustus,68.927723,28.24136,2023-01-01 - 2023-12-31
,Winter Bird Census,Siberian Jay — Perisoreus infaustus,67.99657,23.408052,2023-01-01 - 2023-12-31
,Winter Bird Census,Siberian Jay — Perisoreus infaustus,66.238429,28.107814,2023-01-01 - 2023-12-31
,Winter Bird Census,Siberian Jay — Perisoreus infaustus,65.341767,28.069958,2023-01-01 - 2023-12-31
,Winter Bird Census,Siberian Jay — Perisoreus infaustus,67.134915,25.843319,2023-01-01 - 2023-12-31
,Löydös Open Finnish Observation Database,Siberian Jay — Perisoreus infaustus,64.444987,28.034849,2023-01-01 - 2023-12-31
,Löydös Open Finnish Observation Database,Siberian Jay — Perisoreus infaustus,63.548035,25.990909,2023-01-01 - 2023-12-31
,Löydös Open Finnish Observation Database,Siberian Jay — Perisoreus infaustus,62.651015,26.021545,2023-01-01 - 2023-12-31
,Löydös Open Finnish Observation Database,Siberian Jay — Perisoreus infaustus,62.651015,26.021545,2023-01-01 - 2023-12-31
,Monitoring scheme of birds and mammals that are visiting bird feeders during winter,Siberian Jay — Perisoreus infaustus,67.99657,23.408052,2023-01-01 - 2023-12-31
,Monitoring scheme of birds and mammals that are visiting bird feeders during winter,Siberian Jay — Perisoreus infaustus,67.99657,23.408052,2023-01-01 - 2023-12-31
,Monitoring scheme of birds and mammals that are visiting bird feeders during winter,Siberian Jay — Perisoreus infaustus,67.99657,23.408052,2023-01-01 - 2023-12-31
,Monitoring scheme of birds and mammals that are visiting bird feeders during winter,Siberian Jay — Perisoreus infaustus,67.134975,28.14874,2023-01-01 - 2023-12-31
,Monitoring scheme of birds and mammals that are visiting bird feeders during winter,Siberian Jay — Perisoreus infaustus,67.101644,23.541354,2023-01-01 - 2023-12-31
,Monitoring scheme of birds and mammals that are visiting bird feeders during winter,Siberian Jay — Perisoreus infaustus,67.99657,23.408052,2023-01-01 - 2023-12-31
,Monitoring scheme of birds and mammals that are visiting bird feeders during winter,Siberian Jay — Perisoreus infaustus,67.134975,28.14874,2023-01-01 - 2023-12-31
,Monitoring scheme of birds and mammals that are visiting bird feeders during winter,Siberian Jay — Perisoreus infaustus,67.99657,23.408052,2023-01-01 - 2023-12-31
,Monitoring scheme of birds and mammals that are visiting bird feeders during winter,Siberian Jay — Perisoreus infaustus,67.99657,23.408052,2023-01-01 - 2023-12-31
,Monitoring scheme of birds and mammals that are visiting bird feeders during winter,Siberian Jay — Perisoreus infaustus,66.206495,23.664343,2023-01-01 - 2023-12-31
,Monitoring scheme of birds and mammals that are visiting bird feeders during winter,Siberian Jay — Perisoreus infaustus,67.134975,28.14874,2023-01-01 - 2023-12-31
,Monitoring scheme of birds and mammals that are visiting bird feeders during winter,Siberian Jay — Perisoreus infaustus,67.101644,23.541354,2023-01-01 - 2023-12-31
,Monitoring scheme of birds and mammals that are visiting bird feeders during winter,Siberian Jay — Perisoreus infaustus,67.101644,23.541354,2023-01-01 - 2023-12-31
,Monitoring scheme of birds and mammals that are visiting bird feeders during winter,Siberian Jay — Perisoreus infaustus,66.206495,23.664343,2023-01-01 - 2023-12-31
,Monitoring scheme of birds and mammals that are visiting bird feeders during winter,Siberian Jay — Perisoreus infaustus,67.99657,23.408052,2023-01-01 - 2023-12-31
,Monitoring scheme of birds and mammals that are visiting bird feeders during winter,Siberian Jay — Perisoreus infaustus,67.101644,23.541354,2023-01-01 - 2023-12-31
,Monitoring scheme of birds and mammals that are visiting bird feeders during winter,Siberian Jay — Perisoreus infaustus,67.99657,23.408052,2023-01-01 - 2023-12-31
,Monitoring scheme of birds and mammals that are visiting bird feeders during winter,Siberian Jay — Perisoreus infaustus,68.891262,23.263131,2023-01-01 - 2023-12-31
