Country,Collection,Species,WGS84 N,WGS84 E,Time
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.208747,24.742796,2023-11-05
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.193527,24.758612,2023-11-05
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.26375,25.196382,2023-11-05
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.195839,24.759374,2023-11-05
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.203473,24.759538,2023-11-05
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.168379,24.796725,2023-11-03
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.172162,24.780234,2023-11-03
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.202445,24.847544,2023-11-01
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.204298,24.850561,2023-11-01
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.195364,24.870009,2023-11-01
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.259713,25.181482,2023-10-29
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.27638,25.155104,2023-10-29
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.327247,24.895278,2023-10-28
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.332778,24.868265,2023-10-28
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.326282,24.889927,2023-10-28
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.34931,24.910833,2023-10-28
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.332518,24.877825,2023-10-28
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.336769,24.933351,2023-10-27
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.318874,24.901157,2023-10-27
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.335899,24.929349,2023-10-27
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.217858,24.951074,2023-10-25
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.2245,24.931852,2023-10-25
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.202661,24.978789,2023-10-25
Suomi,"Lajitietokeskus/FinBIF - Notebook, general observations",Common aspen — Populus tremula,63.033979,29.857599,2023-10-24
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.185787,25.04132,2023-10-24
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.194432,25.011069,2023-10-24
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.310626,24.73622,2023-10-22
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.451927,23.08244,2023-10-21
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,Common aspen — Populus tremula,63.62965,28.4657,2023-10-21
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.234473,24.911706,2023-10-20
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.258944,25.094657,2023-10-19
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.250333,25.107061,2023-10-19
Suomi,"Lajitietokeskus/FinBIF - Notebook, general observations",Common aspen — Populus tremula,60.342882,25.685355,2023-10-19
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.287428,24.785949,2023-10-17
Suomi,"Lajitietokeskus/FinBIF - Notebook, general observations",Common aspen — Populus tremula,60.180763,24.73792,2023-10-17 [15:44]
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.238904,24.918285,2023-10-16
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.242504,24.965715,2023-10-16
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.234244,24.911377,2023-10-16
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,Common aspen — Populus tremula,61.53109,23.66723,2023-10-14
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.262573,24.732637,2023-10-14
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.27383,24.712605,2023-10-14
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.255989,24.705304,2023-10-14
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.272686,24.720729,2023-10-14
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.300342,24.761989,2023-10-13
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.303574,24.772661,2023-10-10
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.303698,24.766121,2023-10-10
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,Common aspen — Populus tremula,62.98804,27.73344,2023-10-10
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,Common aspen — Populus tremula,60.3,24.9,2023-10-08
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,Common aspen — Populus tremula,60.02472,22.50776,2023-10-06
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,Common aspen — Populus tremula,60.74019,24.76438,2023-10-05
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.350129,24.697295,2023-10-05
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,Common aspen — Populus tremula,61.02244,24.49594,2023-10-04
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.351469,24.687596,2023-10-03
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.357572,24.666864,2023-10-03
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,Common aspen — Populus tremula,62.50639,21.2103,2023-10-02
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,Common aspen — Populus tremula,63.07307,21.66529,2023-10-01
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,Common aspen — Populus tremula,63.07747,21.65959,2023-10-01
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,61.279103,28.06441,2023-10-01
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,61.272385,28.015953,2023-09-30
Suomi,"Lajitietokeskus/FinBIF - Notebook, general observations",Common aspen — Populus tremula,60.139469,24.469076,2023-09-30 [12:31-17:53]
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.246133,25.045265,2023-09-29
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,Common aspen — Populus tremula,62.98087,27.68912,2023-09-29
Suomi,"Lajitietokeskus/FinBIF - Notebook, general observations",Common aspen — Populus tremula,62.796921,25.805565,2023-09-28
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.338351,24.693833,2023-09-28
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.329799,24.696682,2023-09-28
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.217701,24.927697,2023-09-27
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.217348,24.916639,2023-09-27
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.222405,24.924187,2023-09-27
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,Common aspen — Populus tremula,59.96576,23.44999,2023-09-27
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,Common aspen — Populus tremula,62.75616,28.17705,2023-09-25
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.080282,24.456712,2023-09-24
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.395354,24.728068,2023-09-24
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.332046,24.646104,2023-09-24
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.082941,24.453523,2023-09-24
Suomi,Kastikka Floristic Archives (Kastikka Ark),Common aspen — Populus tremula,60.396115,24.722136,2023-09-24
Suomi,"Lajitietokeskus/FinBIF - Notebook, general observations",Common aspen — Populus tremula,61.439486,23.840284,2023-09-24 [9:24-10:06]
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,Common aspen — Populus tremula,63.09284,21.5823,2023-09-23
Suomi,"Lajitietokeskus/FinBIF - Notebook, general observations",Common aspen — Populus tremula,61.448813,23.833343,2023-09-23 [8:24-8:59]
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,Common aspen — Populus tremula,67.57491,28.65455,2023-09-22
