 Country,Collection,Species,WGS84 N,WGS84 E,Time
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.053584,20.813968,2023-08-30
Suomi,LajiGIS,jääleinikki (fi) — Ranunculus glacialis,69.07987,20.68858,2023-08-29
Suomi,LajiGIS,jääleinikki (fi) — Ranunculus glacialis,69.079313,20.688388,2023-08-29
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,jääleinikki (fi) — Ranunculus glacialis,69.30779,21.26492,2023-07-27
Suomi,Löydös Open Finnish Observation Database,jääleinikki (fi) — Ranunculus glacialis,68.713901,22.787894,2023-07-15
Suomi,"Lajitietokeskus/FinBIF - Notebook, general observations",jääleinikki (fi) — Ranunculus glacialis,69.043867,20.862149,2023-07-09
Suomi,"Lajitietokeskus/FinBIF - Notebook, general observations",jääleinikki (fi) — Ranunculus glacialis,69.046838,20.854398,2023-07-09
Suomi,"Lajitietokeskus/FinBIF - Notebook, general observations",jääleinikki (fi) — Ranunculus glacialis,69.044451,20.861357,2023-07-09
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,jääleinikki (fi) — Ranunculus glacialis,69.04747,20.8446,2023-07-01
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,jääleinikki (fi) — Ranunculus glacialis,69.07639,20.65694,2022-08-09
Suomi,Löydös Open Finnish Observation Database,jääleinikki (fi) — Ranunculus glacialis,69.25352,21.375651,2022-07-23
Suomi,"Lajitietokeskus/FinBIF - Notebook, general observations",jääleinikki (fi) — Ranunculus glacialis,68.987862,21.086054,2022-07-11
Suomi,"Lajitietokeskus/FinBIF - Notebook, general observations",jääleinikki (fi) — Ranunculus glacialis,69.047514,20.826461,2022-07-01 [12:13]
Suomi,"Lajitietokeskus/FinBIF - Notebook, general observations",jääleinikki (fi) — Ranunculus glacialis,69.047526,20.826533,2022-07-01 [12:15-12:16]
Suomi,"Lajitietokeskus/FinBIF - Notebook, general observations",jääleinikki (fi) — Ranunculus glacialis,69.086729,20.832377,2022-06-29 [13:55]
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.080055,20.650536,2021-09-03
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.075343,20.657325,2021-09-03
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.075823,20.657135,2021-09-03
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.083016,20.653356,2021-09-03
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.079914,20.650375,2021-09-03
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.079854,20.650695,2021-09-03
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.076013,20.656425,2021-09-03
Suomi,Vascular plant observations of Turku university Herbarium,jääleinikki (fi) — Ranunculus glacialis,69.107525,21.121366,2021-08-22
Suomi,Vascular plant observations of Turku university Herbarium,jääleinikki (fi) — Ranunculus glacialis,69.061537,20.911343,2021-08-20
Suomi,Vascular plant observations of Turku university Herbarium,jääleinikki (fi) — Ranunculus glacialis,69.059507,20.915169,2021-08-20
Suomi,Vascular plant observations of Turku university Herbarium,jääleinikki (fi) — Ranunculus glacialis,69.217156,21.272498,2021-08-14
Suomi,Vascular plant observations of Turku university Herbarium,jääleinikki (fi) — Ranunculus glacialis,69.231705,21.170073,2021-08-12
Suomi,Vascular plant observations of Turku university Herbarium,jääleinikki (fi) — Ranunculus glacialis,69.216801,21.244795,2021-08-12
Suomi,Vascular plant observations of Turku university Herbarium,jääleinikki (fi) — Ranunculus glacialis,69.201967,21.094567,2021-08-11
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.01321,21.286282,2021-08-10
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.010863,21.264346,2021-08-10
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.008038,21.255293,2021-08-10
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.01349,21.289524,2021-08-10
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.012966,21.29084,2021-08-10
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.01338,21.28787,2021-08-10
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.007895,21.253472,2021-08-10
Suomi,Vascular plant observations of Turku university Herbarium,jääleinikki (fi) — Ranunculus glacialis,69.225607,21.225492,2021-08-09
Suomi,Vascular plant observations of Turku university Herbarium,jääleinikki (fi) — Ranunculus glacialis,69.211827,21.473181,2021-08-05
Suomi,Vascular plant observations of Turku university Herbarium,jääleinikki (fi) — Ranunculus glacialis,69.074674,20.693535,2021-08-04
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,jääleinikki (fi) — Ranunculus glacialis,69.28575,21.26872,2021-08-04
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.106516,21.119425,2021-08-03
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.106582,21.119533,2021-08-03
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.107302,21.122669,2021-08-03
Suomi,Vascular plant observations of Turku university Herbarium,jääleinikki (fi) — Ranunculus glacialis,69.228417,21.411826,2021-08-03
Suomi,Vascular plant observations of Turku university Herbarium,jääleinikki (fi) — Ranunculus glacialis,69.080872,20.813094,2021-08-03
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.10386,21.15598,2021-08-02
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.105473,21.164753,2021-08-02
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.105272,21.161478,2021-08-02
Suomi,Vascular plant observations of Turku university Herbarium,jääleinikki (fi) — Ranunculus glacialis,69.080789,20.806337,2021-08-02
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.176643,21.294428,2021-08-01
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.176389,21.294924,2021-08-01
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.176118,21.295957,2021-08-01
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.239009,21.645071,2021-07-31
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.285174,21.268381,2021-07-30
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.09061,20.815124,2021-07-30
Suomi,Vascular plant observations of Turku university Herbarium,jääleinikki (fi) — Ranunculus glacialis,69.073398,20.662646,2021-07-29
Suomi,Vascular plant observations of Turku university Herbarium,jääleinikki (fi) — Ranunculus glacialis,69.047032,20.85503,2021-07-28
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,jääleinikki (fi) — Ranunculus glacialis,69.06825,21.25186,2021-07-27
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,jääleinikki (fi) — Ranunculus glacialis,69.09812,20.68202,2021-07-25
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,jääleinikki (fi) — Ranunculus glacialis,69.04332,20.8571,2021-07-22
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,jääleinikki (fi) — Ranunculus glacialis,69.1,20.9,2021-07-22
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.079913,20.688644,2021-07-15
Suomi,LajiGIS: Species monitoring sites,jääleinikki (fi) — Ranunculus glacialis,69.079305,20.688291,2021-07-15
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,jääleinikki (fi) — Ranunculus glacialis,69.2704,21.16718,2021-07-13
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,jääleinikki (fi) — Ranunculus glacialis,69.08009,20.81832,2021-07-09
Suomi,"Lajitietokeskus/FinBIF - Notebook, general observations",jääleinikki (fi) — Ranunculus glacialis,69.052503,20.820498,2021-07-06 [0:00]
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,jääleinikki (fi) — Ranunculus glacialis,69.05349,20.81413,2021-07-06
