 Country,Collection,Species,WGS84 N,WGS84 E,Time
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,meriajokas (fi) — Zostera marina,59.94364,22.33287,2023-07-12
Suomi,Kastikka Floristic Archives (Kastikka Ark),meriajokas (fi) — Zostera marina,59.819335,21.583395,2022-08-04 - 2022-08-26
Suomi,Kastikka Floristic Archives (Kastikka Ark),meriajokas (fi) — Zostera marina,59.82827,21.58194,2022-08-04 - 2022-08-26
Suomi,Kastikka Floristic Archives (Kastikka Ark),meriajokas (fi) — Zostera marina,59.820066,21.60114,2022-08-04 - 2022-08-26
Suomi,Kastikka Floristic Archives (Kastikka Ark),meriajokas (fi) — Zostera marina,59.829002,21.59969,2022-08-04 - 2022-08-26
Suomi,Kastikka Floristic Archives (Kastikka Ark),meriajokas (fi) — Zostera marina,59.830458,21.635192,2022-08-04 - 2022-08-26
Suomi,Löydös Open Finnish Observation Database,meriajokas (fi) — Zostera marina,60.783247,21.185626,2021-08-28
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,meriajokas (fi) — Zostera marina,59.78129,21.37184,2021-05-16
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.934902,24.313583,2021-01-01 - 2021-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.934902,24.313583,2021-01-01 - 2021-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.934902,24.313583,2021-01-01 - 2021-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.934902,24.313583,2021-01-01 - 2021-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.886421,22.529739,2021-01-01 - 2021-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.886421,22.529739,2021-01-01 - 2021-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.886421,22.529739,2021-01-01 - 2021-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.886421,22.529739,2021-01-01 - 2021-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.886421,22.529739,2021-01-01 - 2021-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.886421,22.529739,2021-01-01 - 2021-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.886421,22.529739,2021-01-01 - 2021-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.886421,22.529739,2021-01-01 - 2021-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.886421,22.529739,2021-01-01 - 2021-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.886421,22.529739,2021-01-01 - 2021-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.886421,22.529739,2021-01-01 - 2021-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.886421,22.529739,2021-01-01 - 2021-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.886421,22.529739,2021-01-01 - 2021-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.934902,24.313583,2021-01-01 - 2021-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.934902,24.313583,2021-01-01 - 2021-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.934902,24.313583,2021-01-01 - 2021-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.934902,24.313583,2021-01-01 - 2021-12-31
Suomi,Lajitietokeskus/FinBIF - iNaturalist Suomi Finland,meriajokas (fi) — Zostera marina,61.58868,21.49657,2020-09-06
Suomi,Vascular Plant Herbarium,meriajokas (fi) — Zostera marina,60.146796,25.089303,2020-08-26
Suomi,Kastikka Floristic Archives (Kastikka Ark),meriajokas (fi) — Zostera marina,60.113409,21.967526,2020-08-08
Suomi,"Lajitietokeskus/FinBIF - Notebook, general observations",meriajokas (fi) — Zostera marina,59.826706,23.123891,2020-07-28
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.886421,22.529739,2020-01-01 - 2020-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.886421,22.529739,2020-01-01 - 2020-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.886421,22.529739,2020-01-01 - 2020-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.886421,22.529739,2020-01-01 - 2020-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.813927,20.753454,2020-01-01 - 2020-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.813927,20.753454,2020-01-01 - 2020-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.886421,22.529739,2020-01-01 - 2020-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.886421,22.529739,2020-01-01 - 2020-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.813927,20.753454,2020-01-01 - 2020-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.813927,20.753454,2020-01-01 - 2020-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.813927,20.753454,2020-01-01 - 2020-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.934902,24.313583,2020-01-01 - 2020-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.934902,24.313583,2020-01-01 - 2020-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.934902,24.313583,2020-01-01 - 2020-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.886421,22.529739,2020-01-01 - 2020-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.886421,22.529739,2020-01-01 - 2020-12-31
,LajiGIS: Aquatic species survey,meriajokas (fi) — Zostera marina,59.886421,22.529739,2020-01-01 - 2020-12-31
